Name,State,Notes,Tags,Created,Runtime,Sweep,alpha,filter,kernel_size,model_path,number_of_iter,parametric_mode,rho,seed,size,thr,var_estimation,cov,signal,noise_distribution,ws_distance,bonf-p-value-mean,bonf-p-value-se,bonf-rejection,ks-bonf-p,ks-naive-p,ks-oc-p,ks-p,naive-p-value-mean,naive-p-value-se,naive-rejection,number-of-error,oc-p-value-mean,oc-p-value-se,oc-rejection,p-value-mean,p-value-se,rejection,search-count,time
daily-wave-70,finished,-,submission_fpr_robust,2024-01-30T06:13:16.000Z,1283,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.03,0,0,0,0,0,0.23178059925323924,1.0896625233991276e-189,1,0,1,0,0.040999999999999995,0.006904105,0.041,0.026,0.004,0.026,1387.301,38.49273044586182
silvery-wildflower-69,finished,-,submission_fpr_robust,2024-01-30T06:01:13.000Z,4963,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.02,0,0,0,0,0,0.22481476276936196,2.0548210811502852e-194,1,0,1,0,0.044,0.004,0.044,0.045,0.004013865,0.045,1428.936,33.57736366343498
fluent-snow-68,finished,-,submission_fpr_robust,2024-01-30T05:57:07.000Z,4762,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.01,0,0,0,0,0,0.35111546211583444,6.379941272100703e-216,1,0,1,0,0.051,0.006741249,0.051,0.038,0.004666667,0.038,1478.306,34.916161432743074
denim-donkey-67,finished,-,submission_fpr_robust,2024-01-30T05:52:43.000Z,4390,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.04,0,0,0,0,0,0.33354702715985574,4.536810678174909e-199,0.999,0.001,0.999,0,0.042,0.005120764,0.042,0.04,0.005577734,0.04,1352.523,31.552294373989103
curious-cloud-66,finished,-,submission_fpr_robust,2024-01-30T05:51:16.000Z,1292,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.03,0,0,0,0,0,0.20296054203084068,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.006904105,0.041,0.026,0.004760952,0.026,1386.87,38.692589312791824
genial-fire-65,finished,-,submission_fpr_robust,2024-01-30T05:50:19.000Z,4309,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.02,0,0,0,0,0,0.43244629026385617,2.0356094435153615e-191,1,0,1,0,0.047,0.005174725,0.047,0.043,0.004229526,0.043,1426.747,30.797238496780395
lemon-frog-64,finished,-,submission_fpr_robust,2024-01-30T05:05:15.000Z,4712,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.01,0,0,0,0,0,0.12477079948186098,2.069078388183954e-214,1,0,1,0,0.053000000000000005,0.007608475,0.053,0.038,0.007423686,0.038,1481.925,34.83497742533684
firm-gorge-63,finished,-,submission_fpr_robust,2024-01-30T05:04:43.000Z,4357,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.04,0,0,0,0,0,0.3450471770333292,6.732495295258362e-195,0.999,0.001,0.999,0,0.045,0.004281744,0.045,0.038,0.00663325,0.038,1347.069,31.367702348470687
earnest-violet-56,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,4405,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.04,0,0,0,0,0,0.671528105,3.7307443942361686e-206,0.999,0.001,0.999,0,0.042,0.00663325,0.042,0.04,0.006992059,0.04,1351.489,31.66206749844551
electric-dawn-56,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,4914,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.02,0,0,0,0,0,0.6630190961084408,2.1683311902690844e-197,1,0,1,0,0.049,0.004818944,0.049,0.048,0.005333333,0.048,1428.081,33.603645050048826
worthy-aardvark-61,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,4669,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.01,0,0,0,0,0,0.1445130355520473,5.961854989338177e-215,1,0,1,0,0.047,0.007310571,0.047,0.037,0.006674995,0.037,1478.245,34.86366443991661
cosmic-energy-60,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,4335,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.02,0,0,0,0,0,0.4573745364310292,8.193854827818652e-194,1,0,1,0,0.045,0.004013865,0.045,0.045,0.003073181,0.045,1427.784,31.12549740076065
comfy-morning-58,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,4252,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.01,0,0,0,0,0,0.2495952501096829,1.2172956456147455e-214,1,0,1,0,0.047,0.007,0.047,0.038,0.004666667,0.038,1483.756,32.48611195635796
dark-firebrand-62,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,1542,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.03,0,0,0,0,0,0.23178059925323924,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.007218803,0.041,0.026,0.004760952,0.026,1386.766,46.39026374053955
legendary-brook-59,finished,-,submission_fpr_robust,2024-01-30T04:38:40.000Z,1558,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.03,0,0,0,0,0,0.26357560033773764,1.0896625233991276e-189,1,0,1,0,0.041,0.00781025,0.041,0.026,0.004268749,0.026,1387.02,47.01566016197204
tough-brook-41,finished,-,submission_tpr_estimate_var,2024-01-24T08:51:26.000Z,577,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,TRUE,ar1,4,,,0,0,0,0,0,0.082012785,0,1,0,1,0,0.053000000000000005,0.007310571,0.053,0.48699999999999993,0.025649344804280844,0.487,723.031,20.447991592884065
smooth-firebrand-40,finished,-,submission_tpr_estimate_var,2024-01-24T08:43:17.000Z,476,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,TRUE,ar1,3,,,0,0,0,0,0,0.29974928175190574,0,0.954,0.006531973,0.954,0,0.055,0.009339284,0.055,0.35300000000000004,0.021911438,0.353,578.399,16.72503673505783
balmy-snow-39,finished,-,submission_tpr_estimate_var,2024-01-24T08:37:40.000Z,323,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,TRUE,ar1,2,,,0,0,0,0,1.6633076517309088e-260,0.7674319549233396,4.8745e-320,0.5549999999999999,0.020453198608856596,0.555,0,0.048,0.005120764,0.048,0.119,0.011874342087037918,0.119,322.213,11.032870478391647
grateful-fire-38,finished,-,submission_tpr_estimate_var,2024-01-24T08:31:15.000Z,374,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,TRUE,ar1,1,,,0,0,0,0,0,0.3131004364404679,0,0.7769999999999999,0.011357816691600547,0.777,0,0.049,0.00795124,0.049,0.095,0.007031674,0.095,425.015,13.057398794412611
major-morning-36,finished,-,submission_tpr_cov,2024-01-24T07:42:28.000Z,604,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,FALSE,ar1,4,,,0,0,0,0,0,0.003344475,0,1,0,1,0,0.053000000000000005,0.005783117,0.053,0.5,0.032420844,0.5,727.727,21.25515839
effortless-flower-35,finished,-,submission_tpr_cov,2024-01-24T07:33:14.000Z,542,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,FALSE,ar1,3,,,0,0,0,0,0,0.3153229271256939,0,0.957,0.007753136,0.957,0,0.052000000000000005,0.008919392,0.052,0.29999999999999993,0.016532795690182994,0.3,674.988,19.197529279708863
dashing-serenity-34,finished,-,submission_tpr_cov,2024-01-24T07:27:09.000Z,352,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,FALSE,ar1,2,,,0,0,0,0,1.6405028282685904e-235,0.8325736275053331,1.6641018856235946e-275,0.532,0.019821425,0.532,0,0.055,0.004281744,0.055,0.084,0.009451631,0.084,360.9,12.238963567733764
fancy-sponge-33,finished,-,submission_tpr_cov,2024-01-24T07:20:01.000Z,417,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.25,1234,16,1.2,FALSE,ar1,1,,,0,0,0,0,0,0.9176231309836428,6.733963541336377e-258,0.741,0.011100550536897812,0.741,0,0.053000000000000005,0.007,0.053,0.055,0.007340905,0.055,486.149,14.49491605424881
brisk-spaceship-32,finished,-,submission_tpr,2024-01-24T07:11:40.000Z,490,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,4,,,0.061,0.005044249,0.061,0,0,9.844901393303231e-21,0,1,0,1,0,0.1,0.010645813,0.1,0.865,0.019450793,0.865,244.025,10.565311893463134
dauntless-cherry-31,finished,-,submission_tpr,2024-01-24T07:03:11.000Z,497,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,3,,,0,0,0,0,0,1.7104283030077688e-11,0,1,0,1,0,0.085,0.006708204,0.085,0.677,0.041953678,0.677,388.403,14.836932058572769
valiant-dew-30,finished,-,submission_tpr,2024-01-24T06:58:09.000Z,292,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,2,,,0,0,0,0,0,0.26511491373977436,0,0.85,0.012292726,0.85,0,0.053000000000000005,0.008698659,0.053,0.28200000000000003,0.014817407180595245,0.282,346.957,9.303736535549165
crisp-sunset-29,finished,-,submission_tpr,2024-01-24T06:54:56.000Z,179,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,1,,,0,0,0,0,8.803430740738484e-115,0.8047949861318376,1.667172911608447e-289,0.3430000000000001,0.022854612955229264,0.343,0,0.06,0.007888106,0.06,0.039,0.004333333,0.039,170.183,5.5733424277305605
radiant-morning-20,finished,-,submission_fpr_estimate_var,2024-01-23T19:11:44.000Z,1032,,0.05,MEAN,3,trained_models/test_vae_model_64.h5,1000,decision,0.5,1234,64,1.2,TRUE,,,,,0,0,0,0,6.542749908373975e-24,0.008593682,0,0.13400000000000004,0.016343534,0.134,0,0.054000000000000006,0.005206833,0.054,0.05,0.009888265,0.05,679.36,32.97564852833748
ethereal-breeze-19,finished,-,submission_fpr_estimate_var,2024-01-23T19:06:36.000Z,296,,0.05,MEAN,3,trained_models/test_vae_model_32.h5,1000,decision,0.5,1234,32,1.2,TRUE,,,,,0,0,0,0,0,0.1382973588335048,3.381468672167861e-221,0.8160000000000001,0.019561867668161616,0.816,0,0.042,0.006110101,0.042,0.054000000000000006,0.004521553,0.054,334.347,9.919008325338364
comic-snowball-18,finished,-,submission_fpr_estimate_var,2024-01-23T19:03:30.000Z,174,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,TRUE,,,,,0,0,0,0,2.245452306539948e-99,0.4734198815420983,4.472754119889167e-298,0.32999999999999996,0.03732738,0.33,0,0.039999999999999994,0.006146363,0.04,0.048,0.005925463,0.048,177.14,5.533651859760284
treasured-aardvark-17,finished,-,submission_fpr_estimate_var,2024-01-23T18:57:22.000Z,358,,0.05,MEAN,3,trained_models/test_vae_model_8.h5,1000,decision,0.5,1234,8,1.2,TRUE,,,,,0,0,0,0,1.704113303108395e-34,0.5708532836038439,2.398642163166695e-162,0.187,0.012297244497131142,0.187,0,0.048,0.009285592,0.048,0.046,0.007483315,0.046,50.553,2.2019905281066894
copper-pond-12,finished,-,submission_fpr,2024-01-23T18:38:47.000Z,1033,,0.05,MEAN,3,trained_models/test_vae_model_64.h5,1000,decision,0.5,1234,64,1.2,FALSE,,,,,0,0,0,0,4.3705087851712866e-24,0.006951388,0,0.139,0.015162087220725543,0.139,0,0.054000000000000006,0.005206833,0.054,0.05,0.01,0.05,678.085,33.11549911308288
twilight-wood-11,finished,-,submission_fpr,2024-01-23T18:33:40.000Z,295,,0.05,MEAN,3,trained_models/test_vae_model_32.h5,1000,decision,0.5,1234,32,1.2,FALSE,,,,,0,0,0,0,0,0.13735757359804623,1.2295959450650286e-223,0.8109999999999999,0.019347695814575263,0.811,0,0.042,0.006110101,0.042,0.058,0.006798693,0.058,334.617,9.901814621686936
winter-resonance-10,finished,-,submission_fpr,2024-01-23T18:30:39.000Z,168,,0.05,MEAN,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,,,0,0,0,0,4.618826772265887e-99,0.3830244741573332,1.8024106050431383e-295,0.34,0.032727833889689535,0.34,0,0.040999999999999995,0.006046119,0.041,0.047,0.004229526,0.047,176.603,5.325949475049972
sunny-wind-9,finished,-,submission_fpr,2024-01-23T18:24:29.000Z,357,,0.05,MEAN,3,trained_models/test_vae_model_8.h5,1000,decision,0.5,1234,8,1.2,FALSE,,,,,0,0,0,0,3.891672500776725e-40,0.6193376731859668,7.91531232727385e-166,0.199,0.011685698761972068,0.199,0,0.047,0.008171767,0.047,0.051,0.008875685,0.051,50.64,2.197191125869751
